Date,ZT,Neuron,Page No.,Geno,FR,Vm,RI,Check,Flag,Recordings,BL notes,Geno Old Label
2012_07_31,11:45,1,6p5,WT Pharma,9.1,-36,,1,-1,All,OK MH236 PP,WT_PP
2012_08_07,1:55,3,6p7,WT Pharma,2.12,-36,,1,-1,"[2, 2]",OK MH236 PP,WT_PP
2012_08_08,0:51,1,6p8,WT Pharma,11,-36.7,,1,-1,All,OK MH236 PP,WT_PP
2012_08_21,11:27,1,6p21,WT Pharma,3,-46,,1,-1,"[0, 1]",OK MH236 OA,WT_OA
2012_08_21,2:54,1,6p21,"per01, UNA",16.4,-32,1.1,1,-1,"[2, -1]",per01 with UASna expression,"per01, UNA"
2012_10_24,11:00,1,6p68,WT,0,-48,2.16,1,0,"[0, 3]",OK MH236,WT
2012_10_24,23:26,2,6p68,WT,10.17,-36,1.67,1,0,"[4, 8]",continuation,WT
2012_10_26,9:33,1,6p71,WT,3.8,-41.5,2.6,1,0,All,OK WT,WT
2012_10_29,1:32,2,6p75,WT,0,-47,1.75,1,0,"[1, -1]",OK? ,WT
2012_11_01,10:02,1,6p80,WT,4.48,-37,2.9,1,-1,"[0, 6]",OK WT,WT
2012_11_01,2:10,4,6p81,WT,7.14,-34,1.3,1,0,"[9,-1]",continuation,WT
2012_11_05,1:54,3,6p83,WT,5.4,-37,1.4,1,0,"[13, 20]",OK WT,WT
2012_11_06,10:23,2,6p85,WT,2.35,-43,1.9,1,0,"[1, -1]",OK WT,WT
2012_11_08,10:37,1,6p88,WT,0.54,-42.5,1.5,1,0,All,OK WT,WT
2012_11_09,2:28,4,6p89,WT,6,-35.2,2,1,0,"[7, -1]",OK WT,WT
2012_11_10,4:04,1,6p91,WT,3.5,-37.5,1.3,1,0,All,OK WT,WT
2012_11_11,1:59,2,6p92,WT,5.8,-35,1.5,1,0,"[1,9]",OK WT,WT
2012_11_11,3:19,3,6p93,WT,9,-36,1.4,1,0,"[10, -1]",continuation,WT
2012_11_13,11:22,1,6p96,nahar,0,-65,2.1,1,0,"[0, 7]",MH321= nahar mutant,321
2012_11_13,1:29,2,6p97,WT,5,-37.5,1.3,1,0,"[8, 15]",OK WT,WT
2012_11_13,4:24,3,6p98,nahar,0,-50,1.3,1,0,"[16, 23]",OK MH322 = nahar,nahar
2012_11_15,6:06,2,6p100,nahar,0,-53,1.3,1,-1,"[2, -1]","OK MH322, wondering if that's -53, not -33",nahar
2012_11_16,0:57,1,6p101,nahar,0,-55,1.5,1,0,All,OK MH322 = nahar,nahar
2012_11_21,11:00,1,6p103,nahar,0,-59,1.3,1,0,"[0, 9]",MH321= nahar mutant,321
2012_11_21,4:49,2,6p104,nahar,0,-46,,1,0,"[12, -1]",MH321= nahar mutant,321
2012_11_22,11:55,1,6p105,nahar,0,-54.5,,1,0,"[0, 8]",MH321= nahar mutant,321
2012_11_22,4:30,3,6p106,WT,5.6,-40,1.7,1,-1,"[10, -1]",OK WT,WT
2012_11_28,10:06,1,6p116,WT Pharma,0.45,-43.5,1.4,1,-1,"[0, 9]",OK WT OA,WT_OA
2012_11_28,11:10,2,6p117,WT Pharma,0,-48,,1,-1,"[10, 19]",continuation,WT_OA
2012_11_28,1:27,3,6p118,nahar,0,-55,2,1,0,"[20, 28]",OK MH322 = nahar,nahar
2012_11_28,3:52,4,6p119,nahar,0,-47,1.4,1,0,"[29, 37]",continuation,nahar
2012_11_28,5:08,5,6p120,nahar,0,-52,2,1,0,"[37, -1]",continuation,nahar
2012_11_30,10:25,1,6p121,nahar,0,-52,1.8,1,0,"[0, 7]",OK MH322 = nahar,nahar
2012_11_30,11:30,2,6p122,nahar,0,-48,1,1,0,"[8, -1]",continuation,nahar
2012_12_01,2:00,1,6p123,nahar,0,-47,1.9,1,0,All,MH321= nahar mutant,321
